,Zipcode,Current Value,1 Year Value,3 Years Value,5 Years Value,1Yr-ROI,3Yr-ROI,5Yr-ROI
0,01001,344949.5,407302.36203349626,512242.1843079333,615114.037761599,0.1807593924139512,0.4849773207612515,0.7832002590570473
1,01002,460500.0,486150.9330570831,449513.3923869831,421206.665146306,0.05570235191548992,-0.02385799698809318,-0.08532754582778289
2,01040,239943.5,264749.6550574459,301551.6377265368,338907.9141766959,0.10338331756203409,0.2567610196839538,0.41244882306332914
3,01056,349900.0,387407.8338522755,424634.8494566185,461861.8650609615,0.10719586696849245,0.21358916678084733,0.3199824665932024
4,01060,649500.0,655340.4515539731,847592.3420581624,1039844.2325623517,0.00899222718086703,0.3049920585960931,0.600991890011319
5,01075,307000.0,387919.20683006564,480959.4503714371,572802.7388925547,0.26358047827382947,0.5666431608190134,0.8658069670767252
6,01085,296500.0,308737.2753497375,325778.8014475649,342820.32754539227,0.04127242951007586,0.09874806559043815,0.15622370167080024
7,01106,434350.0,517646.4347613534,546646.2628757689,575782.3640350456,0.19177261370174611,0.2585386505715873,0.3256184276160829
8,01201,252400.0,269381.8817961768,277385.130186109,286762.7332411694,0.06728162359816472,0.0989902146834746,0.13614395103474414
9,01230,612000.0,586079.5149999753,556444.4152019358,526809.3154038963,-0.04235373366017102,-0.09077709934324216,-0.13920046502631328
10,01237,432450.0,460551.0045238869,582514.634769237,701370.6318846508,0.0649809331110808,0.3470103706075547,0.6218536984267564
11,01240,772450.0,843134.7782644463,882231.9647689847,936506.6682421131,0.09150725388626617,0.14212177457309172,0.21238483816701803
12,01267,593500.0,595036.0851261748,587752.424885044,580468.7646439133,0.0025881804990309128,-0.009684204069007598,-0.02195658863704591
13,01420,281000.0,318153.1681163889,373703.01592918555,428497.9581305677,0.13221768012949786,0.3299039712782404,0.5249037655892088
14,01451,534900.0,575493.6850665193,395526.717800813,215559.75053510696,0.07589023194339,-0.260559510561202,-0.5970092530657937
15,01453,367450.0,406925.70106230566,483008.56453986396,559091.4280174223,0.10743149016820154,0.3144878610419485,0.5215442319156955
16,01516,504900.0,508051.4748624355,567496.5930645982,633634.6490452893,0.006241780278145145,0.12397819977143625,0.2549705863444034
17,01545,529900.0,505900.6642446379,478481.252410906,449736.1407911912,-0.04529031091783755,-0.09703481334043024,-0.15128110815023363
18,01569,428999.0,470700.5423897838,516964.4971226773,563228.4518555708,0.09720661910583422,0.20504825680870417,0.3128898945115741
19,01581,473950.0,520701.79363484844,323897.2974920571,137333.19051697143,0.09864288139012224,-0.31660027958211395,-0.7102369648339035
20,01701,574950.0,654588.6342562673,713157.3744050125,771726.1145537575,0.13851401731675336,0.24038155388296803,0.3422490904491825
21,01720,834495.0,831207.7922735857,1009097.9663816973,1186964.5444909537,-0.003939158085326234,0.20923189040281528,0.4223746631087708
22,01742,1245000.0,1096349.8982114177,878955.5079429576,661561.1176744972,-0.1193976721193432,-0.29401164020645976,-0.4686256082935766
23,01760,736450.0,701644.2491052706,636469.9841337532,578208.557522293,-0.04726152609780623,-0.1357594077890512,-0.2148705852097319
24,01776,1374000.0,1370608.526552213,1780151.8150783342,2189695.103604455,-0.0024683212865990608,0.29559811868874397,0.5936645586640866
25,01810,599000.0,674838.5405644454,561658.3964861038,454293.5452589942,0.12660858191059338,-0.06233990569932593,-0.2415800579983402
26,01824,514949.5,641009.9694771041,760799.1089307447,882026.8952620568,0.24480161545375642,0.4774246968503605,0.7128415412813428
27,01844,524906.0,576239.4698482358,728333.1321919245,878144.5381972212,0.09779554786616239,0.3875496416347394,0.6729558019859199
28,01852,337400.0,344300.33354865765,335972.2037022785,327644.07385589933,0.0204514924382266,-0.004231761404035289,-0.028915015246297176
29,01867,758500.0,771543.973048839,877251.9806226951,982959.9881965511,0.01719706400637972,0.15656160925866192,0.2959261545109441
30,01876,564450.0,654694.2451210866,761536.543841689,868378.8425622914,0.15987996301016316,0.34916563706561965,0.5384513111210761
31,01890,1159000.0,1076706.2490237942,948939.4442494168,819602.6002963574,-0.07100409920293857,-0.18124292989696564,-0.2928364104431774
32,01902,419998.5,451326.01075190544,531055.0911648961,610784.1715778871,0.07458957770540953,0.2644213995166558,0.4542532213279027
33,01913,477450.0,585526.2510088688,654692.1310253231,723858.0110417776,0.22636140121241763,0.3712265808468385,0.5160917604812599
34,01915,612450.0,662353.413162369,748634.969426689,834916.5256910089,0.08148161182524133,0.22236095914227932,0.3632403064593173
35,01930,856500.0,885583.5586863145,967557.4629696003,1051723.503520214,0.03395628568162814,0.129664288347461,0.22793170288407938
36,01945,729000.0,579293.1543767483,413294.2491487958,247295.34392084315,-0.20535918466838374,-0.4330668735956162,-0.6607745625228489
37,01970,469900.0,488075.12276518816,534184.9582986007,579694.0816196902,0.03867870347986415,0.13680561459587304,0.2336541426254313
38,02021,772400.0,786874.175021655,894336.8002781764,1007709.400651886,0.018739221933784363,0.15786742656418493,0.3046470748988685
39,02025,1980000.0,2006078.006851848,2338519.432255326,2676766.768295246,0.013170710531236354,0.18107042033097265,0.3519024082299223
40,02026,707450.0,880465.0200107445,1076117.0079903826,1271768.995970021,0.24456148139196332,0.5211209385686375,0.797680395745312
41,02030,1892500.0,2729166.8047442497,3380755.1908598063,4032343.576975363,0.4420960659150593,0.7863964020395278,1.1306967381639963
42,02043,1187000.0,1356628.6965557665,1601458.274579346,1852158.1028304358,0.14290538884226328,0.34916451101882556,0.5603690841031473
43,02045,602000.0,597683.621790278,676823.6337280715,750788.1722319535,-0.0071700634712989954,0.12429175037885626,0.24715643227899248
